日期,區域,產品線,銷售額(TWD),達成率(%),客戶滿意度
2025-11-10,台北總部,數據清洗模組,330591,87.67,3.6
2025-11-11,新加坡亞太中心,企業大腦標準版,153816,109.67,4.7
2025-11-12,新加坡亞太中心,企業大腦進階版,139405,85.08,3.9
2025-11-13,台北總部,企業大腦標準版,265514,82.79,3.6
2025-11-14,新加坡亞太中心,數據清洗模組,324205,105.45,3.8
2025-11-15,高雄辦事處,數據清洗模組,392251,86.27,3.8
2025-11-16,台北總部,數據清洗模組,183663,84.15,4.9
2025-11-17,高雄辦事處,數據清洗模組,276446,102.92,5.0
2025-11-18,台北總部,AI顧問服務,322694,86.25,4.9
2025-11-19,台中分公司,企業大腦進階版,246452,93.99,4.4
2025-11-20,新加坡亞太中心,AI顧問服務,391649,105.88,4.1
2025-11-21,台中分公司,AI顧問服務,212924,94.07,3.9
2025-11-22,高雄辦事處,數據清洗模組,407163,106.88,4.9
2025-11-23,台中分公司,數據清洗模組,321932,111.21,4.5
2025-11-24,台中分公司,AI顧問服務,101928,105.64,3.7
2025-11-25,台中分公司,企業大腦進階版,351962,85.66,4.2
2025-11-26,台北總部,企業大腦進階版,107491,101.02,3.5
2025-11-27,台中分公司,AI顧問服務,384299,101.38,4.0
2025-11-28,高雄辦事處,企業大腦標準版,328471,93.72,4.8
2025-11-29,台北總部,AI顧問服務,225948,116.74,4.5
2025-11-30,台北總部,AI顧問服務,423092,118.95,3.5
2025-12-01,台北總部,數據清洗模組,440812,116.96,3.6
2025-12-02,台中分公司,企業大腦標準版,256430,99.22,3.9
2025-12-03,台中分公司,AI顧問服務,77412,92.15,4.6
2025-12-04,新加坡亞太中心,企業大腦進階版,66985,93.53,3.6
2025-12-05,新加坡亞太中心,企業大腦標準版,299436,102.88,4.0
2025-12-06,台北總部,AI顧問服務,89904,92.01,4.7
2025-12-07,台中分公司,數據清洗模組,341415,113.04,4.0
2025-12-08,台中分公司,企業大腦進階版,390937,93.86,4.7
2025-12-09,新加坡亞太中心,數據清洗模組,305000,84.0,3.5
2025-12-10,台中分公司,企業大腦進階版,165251,85.94,4.8
2025-12-11,台中分公司,企業大腦進階版,110772,118.25,4.7
2025-12-12,高雄辦事處,企業大腦進階版,279104,95.31,4.6
2025-12-13,台中分公司,企業大腦進階版,215247,92.94,4.6
2025-12-14,高雄辦事處,企業大腦標準版,478577,82.06,4.6
2025-12-15,高雄辦事處,企業大腦進階版,63353,112.09,4.1
2025-12-16,台北總部,企業大腦進階版,346859,112.75,4.1
2025-12-17,高雄辦事處,數據清洗模組,74802,104.9,4.0
2025-12-18,台北總部,數據清洗模組,466429,86.01,4.2
2025-12-19,台北總部,企業大腦標準版,217819,93.2,4.2
2025-12-20,台北總部,AI顧問服務,151243,94.44,4.8
2025-12-21,台北總部,企業大腦進階版,486823,105.57,3.9
2025-12-22,新加坡亞太中心,AI顧問服務,446890,105.81,4.9
2025-12-23,新加坡亞太中心,企業大腦標準版,140970,110.04,4.7
2025-12-24,台北總部,AI顧問服務,474020,115.34,4.4
2025-12-25,台北總部,企業大腦進階版,389241,113.86,4.3
2025-12-26,高雄辦事處,企業大腦進階版,459602,105.06,4.6
2025-12-27,台北總部,數據清洗模組,136767,96.26,4.6
2025-12-28,台北總部,企業大腦進階版,411286,96.22,3.6
2025-12-29,新加坡亞太中心,數據清洗模組,197019,94.26,3.7
